R d0 df h HER LFR FE t0_R t_t0 h_df
6 95.8 95.8 1.08 1 1.46 0 0.266666666666667 1 0.01126
6 82 95.16 8.8 1.16048780487805 1.46 1.33738601823708 0.266666666666667 0.696024399098169 0.092475830180748
6 70 94.4 16 1.34857142857143 1.46 1.31147540983607 0.266666666666667 0.66395656779661 0.169491525423729
6 65 94.35 22 1.45153846153846 1.46 1.49914821124361 0.266666666666667 0.563294611456376 0.23317435082141
6 64.5 94.35 23.6 1.46279069767442 1.46279069767442 1.58123953098828 0.266666666666667 0.532375003368274 0.250132485426603
8 95.8 95.8 1.08 1 1.55 0 0.2 1 0.01126
8 82 95.3 8.5 1.16219512195122 1.55 1.2781954887218 0.2 0.72776063205975 0.089192025183631
8 65 94.7 19 1.45692307692308 1.55 1.27946127946128 0.2 0.659018785083088 0.200633579725449
8 62.5 94.7 22 1.5152 1.55 1.36645962732919 0.2 0.607401363156379 0.232312565997888
8 61 94.82 24.8 1.5544262295082 1.5544262295082 1.46658781785926 0.2 0.560254276353838 0.261548196582999
10 95.8 95.8 1.08 1 1.65 0 0.16 1 0.01126
10 82 95.3 8.3 1.16219512195122 1.65 1.24812030075188 0.16 0.745297032832274 0.087093389296957
10 65 94.8 17.75 1.45846153846154 1.65 1.19127516778524 0.16 0.70749985142925 0.187236286919831
10 61 94.8 21 1.55409836065574 1.65 1.24260355029586 0.16 0.661296966043801 0.221518987341772
10 58 94.6 25.5 1.63103448275862 1.65 1.39344262295082 0.16 0.578821042158935 0.269556025369979
10 57.5 94.8 26.8 1.64869565217391 1.64869565217391 1.43699731903485 0.16 0.558992025631337 0.282700421940928

